Rank|School|City
825|Iona College|New Rochelle
826|New York Law School|New York City
827|Franklin W. Olin College of Engineering|Needham
828|Shenandoah University|Winchester
829|Lynchburg College|Lynchburg
830|Jackson State University|Jackson
831|Worcester State University|Worcester
832|Dominican University|River Forest
833|Lehman College, CUNY|The Bronx
834|Allegheny College|Meadville
835|Seattle Central College|Seattle
836|Otterbein University|Westerville
837|Mercyhurst University|Erie
838|Austin College|Sherman
839|Concordia College|Moorhead
840|Flagler College|St. Augustine ...
841|Christian Brothers University|Memphis
842|Brigham Young University-Hawaii|Laie
843|McNeese State University|Lake Charles
844|The John Marshall Law School|Chicago
845|Taylor University|Upland ...
846|The Sage Colleges|Troy ...
847|Marymount University|Arlington
848|Wheeling Jesuit University|Wheeling
849|Minneapolis College of Art and Design|Minneapolis
850|Fayetteville State University|Fayetteville
851|Indiana University Northwest|Gary
852|Oklahoma Christian University|Edmond ...
853|Auburn University at Montgomery|Montgomery
854|East Stroudsburg University|East Stroudsburg
855|Vermont Law School|South Royalton
856|Concordia University Irvine|Irvine
857|Oral Roberts University|Tulsa
858|D'Youville College|Buffalo
859|Point Park University|Pittsburgh
860|Whittier College|Whittier
861|Springfield College|Springfield
862|Point Loma Nazarene University|San Diego ...
863|Lincoln Memorial University|Harrogate
864|Western State Colorado University|Gunnison
865|Bemidji State University|Bemidji
866|Lewis-Clark State College|Lewiston ...
867|Union University|Jackson
868|King's College|Wilkes-Barre
869|Western New England University|Springfield ...
870|Cornerstone University|Grand Rapids
871|Southern Nazarene University|Bethany
872|Mercy College|Dobbs Ferry
873|Eastern University|St. Davids
874|Eastern Connecticut State University|Willimantic
875|Scripps College|Claremont
876|Edgewood College|Madison
877|Simpson College|Indianola
878|Trinity International University|Deerfield ...
879|University of St. Francis|Joliet
880|California State University Maritime Academy|Vallejo
881|DeSales University|Center Valley
882|Hartwick College|Oneonta
883|Clark Atlanta University|Atlanta
884|Queens University of Charlotte|Charlotte
885|San Francisco Art Institute|San Francisco
886|Muskingum University|New Concord
887|Alma College|Alma
888|Wheaton College, Massachusetts|Norton
889|Wartburg College|Waverly
890|LeTourneau University|Longview
891|Guilford College|Greensboro
892|Manhattanville College|Purchase
893|University of Maryland Eastern Shore|Princess Anne
894|Eastern Oregon University|La Grande
895|Hunter College, CUNY|New York City
896|Winston-Salem State University|Winston Salem
897|Berkeley College|New York City ...
898|Saint Xavier University|Chicago
899|Nazareth College|Rochester
900|College for Creative Studies|Detroit
901|Saint Mary's College|Notre Dame ...
902|New College of Florida|Sarasota
903|La Sierra University|Riverside
904|Alabama A&M University|Normal
905|Daytona State College|Daytona Beach
906|Brenau University|Gainesville
907|University of Northwestern - St. Paul|St. Paul ...
908|Louisiana State University in Shreveport|Shreveport ...
909|MCPHS University|Boston ...
910|Regis College|Weston
911|University of North Texas Health Science Center|Fort Worth
912|Vanguard University of Southern California|Costa Mesa ...
913|Brandman University|Irvine
914|Saint Martin's University|Lacey
915|Spring Arbor University|Spring Arbor
916|Florida Southern College|Lakeland ...
917|New England Conservatory|Boston
918|Coe College|Cedar Rapids
919|University of Mary Hardin-Baylor|Belton
920|United States Merchant Marine Academy|Kings Point ...
921|Walla Walla University|College Place
922|New York Medical College|Valhalla
923|Salve Regina University|Newport
924|Endicott College|Beverly
925|University of the Cumberlands|Williamsburg
926|Indiana University Southeast|New Albany
927|Manhattan School of Music|New York City
928|Millikin University|Decatur
929|Concordia University Chicago|River Forest
930|Husson University|Bangor
931|Moody Bible Institute|Chicago
932|Alfred State College|Alfred
933|Houston Baptist University|Houston
934|Morningside College|Sioux City
935|Rogers State University|Claremore
936|Dordt College|Sioux Center
937|Lynn University|Boca Raton
938|Montana State University Billings|Billings
939|John Brown University|Siloam Springs
940|Georgetown College|Georgetown
941|Daemen College|Amherst
942|Adams State University|Alamosa
943|ECPI University|Virginia Beach
944|Indiana University South Bend|South Bend ...
945|Alabama State University|Montgomery
946|Carroll College|Helena
947|Stevenson University|Stevenson ...
948|Lycoming College|Williamsport
949|Gardner-Webb University|Boiling Springs ...
950|Bowie State University|Bowie
951|Southeastern University|Lakeland
952|The University of Texas of the Permian Basin|Odessa
953|Mississippi University for Women|Columbus
954|University of Michigan-Dearborn|Dearborn
955|Gannon University|Erie
956|New England College|Henniker ...
957|Oglethorpe University|Atlanta
958|Norfolk State University|Norfolk
959|Carroll University|Waukesha ...
960|Hampden-Sydney College|Hampden-Sydney
961|University of North Carolina School of the Arts|Winston Salem
962|Southern University and A&M College|Baton Rouge
963|Moravian College|Bethlehem
964|Missouri Western State University|St. Joseph
965|University of Maine at Augusta|Augusta
966|Life University|Marietta
967|City University of Seattle|Bellevue ...
968|Marian University|Indianapolis
969|Samuel Merritt University|Oakland
970|Virginia State University|Petersburg
971|Westminster College, Pennsylvania|New Wilmington
972|Pennsylvania Academy of the Fine Arts|Philadelphia
973|Aquinas College|Grand Rapids
974|Rosalind Franklin University of Medicine and Science|North Chicago
975|Framingham State University|Framingham
976|Vincennes University|Vincennes
977|University of South Carolina-Upstate|Spartanburg
978|Southwest Minnesota State University|Marshall
979|Marywood University|Scranton
980|Nicholls State University|Thibodaux
981|Western New Mexico University|Silver City
982|Boston Architectural College|Boston
983|Morrisville State College|Morrisville
984|Bridgewater College|Bridgewater
985|Mount St. Mary's University|Emmitsburg ...
986|Warren Wilson College|Swannanoa
987|Ouachita Baptist University|Arkadelphia
988|Mount Saint Mary College|Newburgh
989|Hollins University|Roanoke
990|Palm Beach Atlantic University|West Palm Beach ...
991|Whitworth University|Spokane
992|Midwestern State University|Wichita Falls
993|Prescott College|Prescott
994|Cameron University|Lawton ...
995|Alverno College|Milwaukee
996|Alcorn State University|Lorman
997|Spring Hill College|Mobile
998|University of Hawaii at Hilo|Hilo
999|Shepherd University|Shepherdstown
1000|Francis Marion University|Florence
1001|Delta State University|Cleveland
1002|Emmanuel College|Boston
1003|Washington & Jefferson College|Washington
1004|Misericordia University|Dallas
1005|College of the Atlantic|Bar Harbor
1006|Pacific Union College|Angwin
1007|Southern Arkansas University|Magnolia
1008|Heidelberg University|Tiffin
1009|New England Institute of Technology|East Greenwich
1010|North Carolina Wesleyan College|Rocky Mount ...
1011|Curry College|Milton
1012|Mitchell Hamline School of Law|St. Paul
1013|University of West Alabama|Livingston
1014|Trinity Washington University|Washington
1015|Southern California Institute of Architecture|Los Angeles
1016|Charleston Southern University|Charleston
1017|St. Augustine's University|Raleigh
1018|Upper Iowa University|Fayette ...
1019|Evangel University|Springfield
1020|Middle Georgia State University|Macon
1021|Delaware Valley University|Doylestown
1022|Manchester University|North Manchester ...
1023|Southwestern College|Winfield
1024|Sterling College|Sterling
1025|Black Hills State University|Spearfish
1026|Nebraska Wesleyan University|Lincoln ...
1027|Chadron State College|Chadron
1028|Northern Vermont University|Johnson ...
1029|Montreat College|Montreat ...
1030|Gwynedd Mercy University|Gwynedd Valley
1031|Elizabeth City State University|Elizabeth City
1032|Doane University|Crete
1033|Greenville University|Greenville
1034|Centenary College of Louisiana|Shreveport
1035|Concordia University Texas|Austin
1036|Anderson University, Indiana|Anderson ...
1037|South Texas College of Law|Houston
1038|Morehouse School of Medicine|Atlanta
1039|Fitchburg State University|Fitchburg
1040|University of the Sciences in Philadelphia|Philadelphia
1041|Henderson State University|Arkadelphia
1042|The American College of Financial Services|Bryn Mawr
1043|Baker University|Baldwin City
1044|Metropolitan State University|St. Paul
1045|McKendree University|Lebanon
1046|Saint Vincent College|Latrobe
1047|University of St. Augustine for Health Sciences|San Marcos ...
1048|Graceland University|Lamoni
1049|Curtis Institute of Music|Philadelphia
1050|Central College|Pella
1051|New Mexico Highlands University|Las Vegas
1052|Buena Vista University|Storm Lake
1053|Lincoln University|Lincoln University
1054|Mount St. Joseph University|Cincinnati
1055|Dominican College|Orangeburg
1056|Wagner College|Staten Island
1057|Missouri Southern State University|Joplin
1058|Colorado State University-Pueblo|Pueblo ...
1059|Columbus College of Art and Design|Columbus
1060|Geneva College|Beaver Falls
1061|Transylvania University|Lexington
1062|The College of New Rochelle|New Rochelle
1063|Chamberlain University|Addison ...
1064|Green Mountain College|Poultney ...
1065|Ripon College|Ripon
1066|Ottawa University|Ottawa ...
1067|Southwestern Law School|Los Angeles
1068|SUNY Canton|Canton
1069|Clarke University|Dubuque
1070|Wayne State College|Wayne
1071|Fisk University|Nashville
1072|Elmira College|Elmira
1073|Campbellsville University|Campbellsville
1074|Grace College|Winona Lake ...
1075|Keiser University|Fort Lauderdale
1076|Rivier University|Nashua
1077|Viterbo University|La Crosse
1078|South Texas College|McAllen
1079|Texas A&M University at Galveston|Galveston
1080|Notre Dame of Maryland University|Baltimore
1081|Georgian Court University|Lakewood
1082|Molloy College|Rockville Centre
1083|Asbury University|Wilmore
1084|University of Houston-Victoria|Victoria
1085|University of Montevallo|Montevallo
1086|Herzing University|Madison
1087|Hardin-Simmons University|Abilene
1088|Northwestern College|Orange City
1089|South Carolina State University|Orangeburg
1090|Lakeland College|Plymouth
1091|Des Moines University|Des Moines
1092|Presbyterian College|Clinton
1093|West Virginia State University|Institute
1094|Wisconsin Lutheran College|Milwaukee
1095|Mary Baldwin University|Staunton
1096|Concordia University, Nebraska|Seward
1097|Lasell College|Newton
1098|SUNY Delhi|Delhi
1099|Quincy University|Quincy
1100|University of Mount Union|Alliance
1101|Birmingham-Southern College|Birmingham
1102|John F. Kennedy University|Pleasant Hill ...
1103|Meredith College|Raleigh
1104|Roberts Wesleyan College|Rochester
1105|Cornish College of the Arts|Seattle
1106|University of St Thomas|Houston
1107|Lee University|Cleveland
1108|University of Mary|Bismarck
1109|St. Louis College of Pharmacy|St. Louis
1110|California University of Pennsylvania|California
1111|King University|Bristol
1112|Minot State University|Minot
1113|SUNY Maritime College|Throggs Neck
1114|State College of Florida-Manatee-Sarasota|Bradenton
1115|University of South Carolina-Aiken|Aiken
1116|University of Arkansas - Fort Smith|Fort Smith
1117|Cedar Crest College|Allentown
1118|National University of Health Sciences|Lombard ...
1119|University of Dubuque|Dubuque
1120|MGH Institute of Health Professions|Boston
1121|East Central University|Ada
1122|National American University|Rapid City ...
1123|Rockhurst University|Kansas City
1124|Pacific Northwest College of Art|Portland
1125|Athens State University|Athens
1126|New England Law | Boston|Boston
1127|Friends University|Wichita ...
1128|Saint Peter's University|Jersey City
1129|Bard College at Simon's Rock|Great Barrington
1130|Mount Mercy University|Cedar Rapids
1131|Kansas City University of Medicine and Biosciences|Kansas City
1132|Bloomfield College|Bloomfield
1133|Southwestern Oklahoma State University|Weatherford ...
1134|Northwest University|Kirkland ...
1135|Soka University of America|Aliso Viejo
1136|American International College|Springfield
1137|Georgia Southwestern State University|Americus
1138|The Master's University|Santa Clarita
1139|College of the Ozarks|Point Lookout
1140|Georgia Gwinnett College|Lawrenceville
1141|Southeastern Oklahoma State University|Durant
1142|Southwestern Adventist University|Keene
1143|Belmont Abbey College|Belmont
1144|Albany State University|Albany
1145|Chaminade University of Honolulu|Honolulu
1146|Massachusetts College of Liberal Arts|North Adams
1147|Loras College|Dubuque
1148|Bank Street College of Education|New York City
1149|Bethune-Cookman University|Daytona Beach
1150|Pfeiffer University|Misenheimer
1151|Marlboro College|Marlboro
1152|Great Basin College|Elko ...
1153|Briar Cliff University|Sioux City
1154|Polk State College|Winter Haven
1155|Fairmont State University|Fairmont
1156|Houghton College|Houghton ...
1157|Thomas College|Waterville
1158|Immaculata University|Immaculata ...
1159|University of Advancing Technology|Tempe
1160|Unity College|Unity
1161|Cardinal Stritch University|Milwaukee
1162|The Chicago School of Professional Psychology|Los Angeles ...
1163|Concordia College-New York|Bronxville
1164|Monroe College|Bronx ...
1165|Concord University|Athens
1166|Malone University|Canton
1167|Lyon College|Batesville
1168|Missouri Baptist University|St. Louis
1169|Bethel College-Indiana|Mishawaka
1170|Saint Francis University|Loretto
1171|Oklahoma Baptist University|Shawnee
1172|Sullivan University|Louisville ...
1173|Bethel College|North Newton
1174|Faulkner University|Montgomery
1175|Shawnee State University|Portsmouth
1176|Adrian College|Adrian
1177|Dalton State College|Dalton
1178|Neumann University|Aston
1179|Grambling State University|Grambling
1180|William Carey University|Hattiesburg ...
1181|Fielding Graduate University|Santa Barbara
1182|Huntingdon College|Montgomery
1183|Cambridge College|Lawrence ...
1184|University of Sioux Falls|Sioux Falls
1185|Cabrini University|Radnor
1186|University of Charleston|Charleston
1187|Converse College|Spartanburg
1188|West Coast University-Los Angeles|North Hollywood
1189|Bay Path University|Longmeadow
1190|San Francisco Conservatory of Music|San Francisco
1191|Caldwell University|Caldwell
1192|Central Penn College|Summerdale
1193|Benedictine College|Atchison
1194|Newman University|Wichita ...
1195|Baruch College, CUNY|New York City
1196|Brooklyn College|Brooklyn
1197|Holy Names University|Oakland
1198|SUNY College at Old Westbury|Old Westbury
1199|Savannah State University|Savannah
1200|Emory & Henry College|Emory ...
1201|Northland College|Ashland
1202|Mansfield University of Pennsylvania|Mansfield
1203|Notre Dame de Namur University|Belmont
1204|University of Arkansas at Monticello|Monticello
1205|Lincoln University, Missouri|Jefferson City
1206|Fontbonne University|St. Louis
1207|Averett University|Danville ...
1208|Becker College|Worcester ...
1209|Rocky Mountain College of Art and Design|Denver
1210|Johnson C. Smith University|Charlotte
1211|Millsaps College|Jackson
1212|Capitol Technology University|Laurel
1213|The Graduate Center, CUNY|New York City
1214|Colby-Sawyer College|New London
1215|Wesley College|Dover
1216|Woodbury University|Burbank ...
1217|Our Lady of the Lake University|San Antonio
1218|Saint Joseph's College of Maine|Standish ...
1219|Ave Maria University|Ave Maria
1220|Trevecca Nazarene University|Nashville
1221|Wayland Baptist University|Plainview ...
1222|Maine College of Art|Portland
1223|Spalding University|Louisville
1224|Indiana Institute of Technology|Fort Wayne ...
1225|Nyack College|Nyack
1226|Goddard College|Plainfield ...
1227|Cleveland Institute of Music|Cleveland
1228|Post University|Waterbury
1229|Sul Ross State University|Alpine
1230|Oakwood University|Huntsville
1231|Kendall College|Chicago
1232|Shorter University|Rome ...
1233|Belhaven University|Jackson
1234|Cleveland Institute of Art|Cleveland
1235|Rocky Mountain College|Billings
1236|Marygrove College|Detroit
1237|Massachusetts Maritime Academy|Buzzards Bay
1238|Trinity Christian College|Palos Heights
1239|Dean College|Franklin
1240|Huntington University|Huntington ...
1241|Lancaster Bible College|Lancaster
1242|Columbia International University|Columbia
1243|Western Nevada College|Carson City
1244|Franklin Pierce University|Rindge ...
1245|Logan University|Chesterfield
1246|Lenoir-Rhyne University|Hickory
1247|Charles R. Drew University of Medicine and Science|Los Angeles
1248|United States Coast Guard Academy|New London
1249|College of Central Florida|Ocala
1250|Adler University|Chicago ...
1251|Stephens College|Columbia
1252|College of Saint Elizabeth|Morristown
1253|Trine University|Angola
1254|Langston University|Langston
1255|Chestnut Hill College|Philadelphia
1256|Texas Wesleyan University|Fort Worth
1257|Thomas Edison State University|Trenton
1258|Wingate University|Wingate
1259|Ferrum College|Ferrum
1260|Columbia Basin College|Pasco
1261|Franciscan University of Steubenville|Steubenville
1262|Dillard University|New Orleans
1263|NewSchool of Architecture and Design|San Diego
1264|Tusculum College|Greeneville
1265|Holy Family University|Philadelphia
1266|Methodist University|Fayetteville
1267|SUNY Cobleskill|Cobleskill
1268|Salem College|Winston Salem
1269|Alaska Pacific University|Anchorage
1270|Wells College|Aurora
1271|Maryville College|Maryville
1272|Coppin State University|Baltimore
1273|Eastern Nazarene College|Quincy
1274|Cogswell Polytechnical College|San Jose ...
1275|Mount Vernon Nazarene University|Mount Vernon ...
1276|Pine Manor College|Chestnut Hill
1277|Marylhurst University|Marylhurst
1278|Bennett College|Greensboro
1279|Grand View University|Des Moines
1280|Bryan College|Dayton ...
1281|Texas Lutheran University|Seguin
1282|Rosemont College|Rosemont
1283|Tougaloo College|Tougaloo ...
1284|Paul Smith's College|Paul Smiths
1285|Dakota Wesleyan University|Mitchell
1286|Felician University|Lodi ...
1287|Texas A&M University-Texarkana|Texarkana
1288|La Roche University|Pittsburgh
1289|Gulf Coast State College|Panama City
1290|Piedmont College|Demorest
1291|Medaille College|Buffalo
1292|Robert Morris University Illinois|Chicago
1293|Moore College of Art and Design|Philadelphia
1294|Madonna University|Livonia ...
1295|Reinhardt University|Waleska
1296|Tabor College|Hillsboro
1297|St. Francis College|Brooklyn Heights
1298|Southwestern Assemblies of God University|Waxahachie
1299|Snow College|Ephraim
1300|Randolph-Macon College|Ashland
1301|Keuka College|Keuka Park
1302|Saint Mary-of-the-Woods College|Saint Mary of the Woods
1303|Walsh College|Troy
1304|Kansas City Art Institute|Kansas City
1305|Thomas Aquinas College|Santa Paula
1306|Fort Valley State University|Fort Valley
1307|Vermont Technical College|Randolph Center
1308|East Georgia State College|Swainsboro
1309|Albright College|Reading
1310|Mars Hill University|Mars Hill
1311|Rockford University|Rockford ...
1312|Central State University|Wilberforce
1313|MidAmerica Nazarene University|Olathe
1314|McMurry University|Abilene
1315|Freed-Hardeman University|Henderson
1316|Northwestern Health Sciences University|Bloomington
1317|Wilmington College|Wilmington
1318|Hodges University|Naples
1319|Thomas More College|Crestview Hills
1320|Waldorf University|Forest City
1321|Illinois College|Jacksonville
1322|Bryant and Stratton College|Buffalo ...
1323|Lindsey Wilson College|Columbia
1324|Tiffin University|Tiffin ...
1325|Lees-McRae College|Banner Elk
1326|Wilson College|Chambersburg
1327|Howard Payne University|Brownwood
1328|Warner Pacific College|Portland
1329|Carlow University|Pittsburgh
1330|The University of Virginia's College at Wise|Wise
1331|Sierra Nevada College|Incline Village
1332|Mayville State University|Mayville
1333|Ohio Dominican University|Columbus
1334|Milligan College|Elizabethton ...
1335|Midway University|Midway
1336|Hastings College|Hastings
1337|Columbia College-Hollywood|Tarzana
1338|East Texas Baptist University|Marshall
1339|Waynesburg University|Waynesburg
1340|LIM College|New York City
1341|Lubbock Christian University|Lubbock
1342|Landmark College|Putney
1343|Crown College|St. Bonifacius ...
1344|Abraham Baldwin Agricultural College|Tifton
1345|Covenant College|Lookout Mountain
1346|Claflin University|Orangeburg
1347|St. Joseph's College|Brooklyn ...
1348|Notre Dame College|Cleveland
1349|Castleton University|Castleton
1350|Indian River State College|Fort Pierce ...
1351|Southwest Baptist University|Bolivar ...
1352|Nichols College|Dudley
1353|Heritage University|Toppenish
1354|Mount Mary University|Milwaukee
1355|West Virginia Wesleyan College|Buckhannon
1356|College of Our Lady of the Elms|Chicopee
1357|American Jewish University|Los Angeles ...
1358|Lake Washington Institute of Technology|Kirkland
1359|Marymount Manhattan College|New York City
1360|North Greenville University|Tigerville
1361|Anna Maria College|Paxton
1362|Limestone College|Gaffney
1363|William James College|Newton
1364|Randolph College|Lynchburg
1365|Rochester College|Rochester Hills
1366|Louisiana College|Pineville
1367|Meharry Medical College|Nashville
1368|Cazenovia College|Cazenovia
1369|Midland College|Midland
1370|Oklahoma Wesleyan University|Bartlesville
1371|Franklin College|Franklin
1372|Paine College|Augusta
1373|Milwaukee Institute of Art & Design|Milwaukee
1374|Albany Law School|Albany
1375|Dunwoody College of Technology|Minneapolis
1376|William Jessup University|Rocklin ...
1377|Maine Maritime Academy|Castine
1378|Hope International University|Fullerton
1379|University of Northwestern Ohio|Lima
1380|California Western School of Law|San Diego
1381|Maryland University of Integrative Health|Laurel
1382|Siena Heights University|Adrian
1383|Anderson University|Anderson
1384|Mississippi Valley State University|Itta Bena
1385|United States Sports Academy|Daphne
1386|Northwest Florida State College|Niceville
1387|Florida SouthWestern State College|Fort Myers
1388|The Institute of World Politics|Washington
1389|Corban University|Salem ...
1390|Brevard College|Brevard
1391|Mount Aloysius College|Cresson
1392|Brescia University|Owensboro
1393|Pacifica Graduate Institute|Carpinteria ...
1394|Virginia Union University|Richmond
1395|The College of Idaho|Caldwell
1396|Pensacola State College|Pensacola
1397|Granite State College|Concord
1398|Goodwin College|East Hartford
1399|Cheyney University of Pennsylvania|Cheyney
1400|Valley City State University|Valley City
1401|Nebraska Methodist College|Omaha
1402|William Woods University|Fulton
1403|Southern Wesleyan University|Central
1404|University of Pikeville|Pikeville
1405|Avila University|Kansas City
1406|Judson University|Elgin ...
1407|Bismarck State College|Bismarck
1408|Albertus Magnus College|New Haven
1409|Newberry College|Newberry
1410|West Liberty University|West Liberty
1411|Centralia College|Centralia
1412|Kansas Wesleyan University|Salina
1413|Peru State College|Peru
1414|University of Mobile|Mobile
1415|College of Mount Saint Vincent|The Bronx
1416|Bethany Lutheran College|Mankato
1417|Northeast Ohio Medical University|Rootstown
1418|Catawba College|Salisbury
1419|Olivet College|Olivet
1420|Cumberland University|Lebanon
1421|North Central University|Minneapolis
1422|Thomas Jefferson School of Law|San Diego
1423|Defiance College|Defiance
1424|Keystone College|La Plume
1425|Albany College of Pharmacy and Health Sciences|Albany
1426|University of Arkansas at Pine Bluff|Pine Bluff
1427|Montana State University-Northern|Havre ...
1428|Brown Mackie College|Salina ...
1429|William Penn University|Oskaloosa
1430|McPherson College|McPherson
1431|Benjamin Franklin Institute of Technology|Boston
1432|University of Jamestown|Jamestown
1433|Lourdes University|Sylvania
1434|Coker College|Hartsville
1435|Eureka College|Eureka ...
1436|Thiel College|Greenville
1437|The City College of New York|New York City
1438|SUNY College of Optometry|New York City
1439|Finlandia University|Hancock
1440|South College|Knoxville
1441|Multnomah University|Portland ...
1442|Southern University at New Orleans|New Orleans
1443|LaGrange College|LaGrange
1444|The University of Texas Health Science Center at Tyler|Tyler
1445|University of Rio Grande|Rio Grande
1446|Missouri Valley College|Marshall
1447|Wesleyan College|Macon ...
1448|Virginia Wesleyan University|Norfolk
1449|Shaw University|Raleigh
1450|Piedmont International University|Winston Salem
1451|Air Force Institute of Technology|Wright-Patterson AFB
1452|Brazosport College|Lake Jackson
1453|Union College, Nebraska|Lincoln
1454|University of Saint Joseph|West Hartford
1455|College of Saint Mary|Omaha
1456|University of South Carolina-Beaufort|Bluffton
1457|Schiller International University|Largo ...
1458|Ohio Christian University|Circleville
1459|Kentucky Wesleyan College|Owensboro
1460|Cranbrook Academy of Art|Bloomfield Hills
1461|Edward Waters College|Jacksonville
1462|Urbana University|Urbana ...
1463|Bluefield College|Bluefield
1464|Northwestern Oklahoma State University|Alva ...
1465|St. Thomas Aquinas College|Sparkill
1466|Parker University|Dallas
1467|Mount Marty College|Yankton
1468|Florida Memorial University|Miami Gardens
1469|Union College, Kentucky|Barbourville
1470|Concordia University Ann Arbor|Ann Arbor
1471|Monmouth College|Monmouth
1472|University of Maine at Fort Kent|Fort Kent
1473|Erskine College|Due West
1474|Oklahoma Panhandle State University|Goodwell
1475|Central Methodist University|Fayette
1476|Principia College|Elsah
1477|Huston-Tillotson University|Austin
1478|Maranatha Baptist University|Watertown
1479|Amberton University|Garland
1480|Clarkson College|Omaha
1481|West Virginia University at Parkersburg|Parkersburg
1482|John Jay College of Criminal Justice|New York City
1483|Alderson Broaddus University|Philippi
1484|University of Saint Francis|Fort Wayne
1485|Newbury College|Brookline
1486|Martin Luther College|New Ulm
1487|MacMurray College|Jacksonville
1488|Fisher College|Boston ...
1489|Salus University|Elkins Park ...
1490|Toccoa Falls College|Toccoa Falls ...
1491|Culver-Stockton College|Canton
1492|Bethany College|Bethany
1493|Louisiana State University of Alexandria|Alexandria
1494|Young Harris College|Young Harris
1495|Bethany College, Kansas|Lindsborg
1496|William Jewell College|Liberty
1497|Florida National University|Hialeah
1498|Alice Lloyd College|Pippa Passes
1499|Arkansas Baptist College|Little Rock
1500|Cairn University|Langhorne ...
1501|Bay State College|Boston ...
1502|Gordon State College|Barnesville
1503|West Virginia School of Osteopathic Medicine|Lewisburg
1504|Blackburn College|Carlinville
1505|Westminster College, Missouri|Fulton
1506|Hilbert College|Hamburg
1507|Calumet College of St. Joseph|Whiting
1508|Hebrew College|Newton Centre
1509|Marian University, Wisconsin|Fond du Lac
1510|Nazarene Bible College|Colorado Springs
1511|Johnson University|Knoxville ...
1512|Dickinson State University|Dickinson
1513|Louisiana State University Health Sciences Center-Shreveport|Shreveport
1514|York College|York
1515|Hannibal-LaGrange University|Hannibal
1516|Beacon College|Leesburg
1517|William Peace University|Raleigh
1518|Barton College|Wilson
1519|Schreiner University|Kerrville
1520|Holy Cross College|Notre Dame
1521|Voorhees College|Denmark
1522|Boston Graduate School of Psychoanalysis|Brookline ...
1523|University of Saint Mary|Leavenworth ...
1524|Roseman University of Health Sciences|Henderson
1525|New England College of Optometry|Boston
1526|Southern College of Optometry|Memphis
1527|Saint Johns River State College|Palatka
1528|West Virginia University Institute of Technology|Montgomery
1529|Southern Vermont College|Bennington
1530|Chipola College|Marianna
1531|Art Academy of Cincinnati|Cincinnati
1532|Vaughn College of Aeronautics and Technology|Flushing
1533|Mitchell College|New London
1534|University of Mount Olive|Mount Olive ...
1535|Wiley College|Marshall
1536|Centenary University|Hackettstown
1537|Central Christian College of Kansas|McPherson
1538|Oakland City University|Oakland City
1539|Point University|West Point
1540|Simpson University|Redding
1541|University of Alaska Anchorage|Anchorage
1542|Menlo College|Atherton ...
1543|Queens College, City University of New York|Flushing
1544|Cleveland University-Kansas City|Overland Park
1545|Metropolitan College of New York|New York City
1546|University of Valley Forge|Phoenixville
1547|Southern Virginia University|Buena Vista
1548|Palo Alto University|Palo Alto
1549|University of Maine at Presque Isle|Presque Isle ...
1550|Goldey-Beacom College|Wilmington
1551|Wilberforce University|Wilberforce
1552|Saybrook University|San Francisco
1553|Judson College|Marion
1554|Ursuline College|Pepper Pike
1555|Jefferson College of Health Sciences|Roanoke
1556|Mid-America Christian University|Oklahoma City
1557|Marshall B. Ketchum University|Fullerton ...
1558|Bluefield State College|Bluefield
1559|Memphis College of Art|Memphis
1560|Indiana University East|Richmond
1561|University of Science and Arts of Oklahoma|Chickasha
1562|Faith Baptist Bible College and Theological Seminary|Ankeny
1563|Adler Graduate School|Richfield
1564|Emmaus Bible College|Dubuque
1565|University of Providence|Great Falls
1566|Central Baptist College|Conway
1567|LeMoyne-Owen College|Memphis
1568|Emmanuel College, Georgia|Franklin Springs
1569|Montserrat College of Art|Beverly
1570|Peirce College|Philadelphia
1571|Silver Lake College of the Holy Family|Manitowoc
1572|Touro University California|Vallejo
1573|Warner University|Lake Wales
1574|Mount Ida College|Newton
1575|Glenville State College|Glenville
1576|College of Coastal Georgia|Brunswick
1577|Cincinnati Christian University|Cincinnati
1578|San Diego Christian College|Santee
1579|Lincoln Christian University|Lincoln
1580|Columbia College, South Carolina|Columbia
1581|Rocky Vista University|Parker
1582|Thomas University|Thomasville
1583|Sterling College, Vermont|Craftsbury Common
1584|Lane College|Jackson
1585|Jarvis Christian College|Hawkins
1586|AdventHealth University|Orlando
1587|Lake Erie College|Painesville
1588|Criswell College|Dallas
1589|Livingstone College|Salisbury
1590|York College, City University of New York|Jamaica
1591|Morris College|Sumter
1592|The King's College|New York City
1593|New York School of Interior Design|New York City
1594|Miles College|Fairfield
1595|Appalachian College of Pharmacy|Oakwood
1596|Ozark Christian College|Joplin
1597|Manhattan Christian College|Manhattan
1598|Texas College|Tyler
1599|Harris-Stowe State University|St. Louis
1600|Union Institute & University|Cincinnati
1601|Clarks Summit University|Clarks Summit
1602|New York College of Podiatric Medicine|New York City
1603|Western State College of Law at Argosy University|Irvine
1604|Bethel University, Tennessee|McKenzie
1605|Thomas More College of Liberal Arts|Merrimack
1606|Lincoln University, California|Oakland
1607|Barnes-Jewish College Goldfarb School of Nursing|St. Louis
1608|Blue Mountain College|Blue Mountain
1609|Cottey College|Nevada
1610|College of St. Joseph|Rutland ...
1611|Midland University|Fremont
1612|Florida College|Temple Terrace
1613|Allen University|Columbia
1614|Ohio Valley University|Vienna
1615|Pardee RAND Graduate School|Santa Monica
1616|Holy Apostles College and Seminary|Cromwell
1617|University of Hawaii-West Oahu|Kapolei
1618|Humphreys University|Stockton
1619|Mount Saint Mary's University|Los Angeles
